phrase	pos	meaning	phonetic	example
convincing	adj.	令人信服的	/kənˈvɪnsɪŋ/
gender	n.	性别	/ˈdʒendə(r)/
introversion	n.	内向	/ˌɪntrəˈvɜːʃn/
extroversion	n.	外向	/ˌekstrəˈvɜːʃn/
peer	n.	同龄人；同辈	/pɪə(r)/
response	n.	回答；反应	/rɪˈspɒns/
obedience	n.	服从；顺从	/əˈbiːdiəns/
cooperation	n.	合作；协作	/kəʊˌɒpəˈreɪʃn/
conformity	n.	一致性；顺从	/kənˈfɔːməti/
commitment	n.	承诺；投入	/kəˈmɪtmənt/
bond	n./v.	纽带；结合	/bɒnd/
attribute	v./n.	归因于；属性	/əˈtrɪbjuːt/
attitude	n.	态度	/ˈætɪtjuːd/
sympathy	n.	同情；同情	/ˈsɪmpəθi/
impulse	n.	冲动；脉冲	/ˈɪmpʌls/
empathy	n.	共情；同理心	/ˈempəθi/
distress	n./v.	痛苦；使悲痛	/dɪˈstres/
arise	v.	出现；升起	/əˈraɪz/
altruism	n.	利他主义	/ˈæltruɪzəm/
hunt	v./n.	打猎；搜寻	/hʌnt/
notoriously	adv.	臭名昭著地；众所周知地	/nəʊˈtɔːriəsli/
irritation	n.	恼怒；刺激	/ˌɪrɪˈteɪʃn/
conservative	adj.	保守的	/kənˈsɜːvətɪv/
awe	n./v.	敬畏	/ɔː/
violate	v.	违反；侵犯	/ˈvaɪəleɪt/
undertake	v.	承担；从事	/ˌʌndəˈteɪk/
imply	v.	暗示；意味着	/ɪmˈplaɪ/
effect	n.	影响；效果	/ɪˈfekt/
convert	v.	转换；转变	/kənˈvɜːt/
contribute	v.	贡献；促成	/kənˈtrɪbjuːt/
pollution	n.	污染	/pəˈluːʃn/
habitat	n.	栖息地	/ˈhæbɪtæt/
generate	v.	产生；发电	/ˈdʒenəreɪt/
extinction	n.	灭绝；消亡	/ɪkˈstɪŋkʃn/
endangered	adj.	濒危的	/ɪnˈdeɪndʒəd/
greenhouse gas	n. phrase	温室气体	/ˈɡriːnhaʊs ɡæs/
fossil fuels	n. phrase	化石燃料	/ˈfɒsl ˈfjuːəlz/
emission	n.	排放；排放物	/ɪˈmɪʃn/
climate change	n. phrase	气候变化	/ˈklaɪmət tʃeɪndʒ/
recreation	n.	娱乐；消遣	/ˌrekriˈeɪʃn/
wise	adj.	明智的；聪明的	/waɪz/
uninhabitable	adj.	不适宜居住的	/ˌʌnɪnˈhæbɪtəbl/
unconvinced	adj.	不信服的	/ˌʌnkənˈvɪnst/
unconventional	adj.	非传统的	/ˌʌnkənˈvenʃənl/
submarine	n./adj.	潜艇；海底的	/ˌsʌbməˈriːn/
sceptical	adj.	怀疑的	/ˈskeptɪkl/
renewable	adj.	可再生的	/rɪˈnjuːəbl/
refine	v.	提炼；改进	/rɪˈfaɪn/
radical	adj.	激进的；根本的	/ˈrædɪkl/
priority	n.	优先事项	/praɪˈɒrəti/
pressurise	v.	增压；迫使	/ˈpreʃəraɪz/
outdated	adj.	过时的	/ˌaʊtˈdeɪtɪd/
minimise	v.	使最小化；低估	/ˈmɪnɪmaɪz/
mature	adj./v.	成熟的；成熟	/məˈtʃʊə(r)/
inspire	v.	激励；启发	/ɪnˈspaɪə(r)/
innovation	n.	创新	/ˌɪnəˈveɪʃn/
incompatible	adj.	不兼容的	/ˌɪnkəmˈpætəbl/
inappropriate	adj.	不恰当的	/ˌɪnəˈprəʊpriət/
inaccurate	adj.	不准确的	/ɪnˈækjərət/
implausible	adj.	难以置信的	/ɪmˈplɔːzəbl/
hydroelectric	adj.	水力发电的	/ˌhaɪdrəʊɪˈlektrɪk/
global	adj.	全球的；总体的	/ˈɡləʊbl/
fluctuation	n.	波动；起伏	/ˌflʌktʃuˈeɪʃn/
exploitation	n.	开发；剥削	/ˌeksplɔɪˈteɪʃn/
deforestation	n.	森林砍伐	/ˌdiːfɒrɪˈsteɪʃn/
withstand	v.	承受；抵挡	/wɪðˈstænd/
weave	v.	编织；穿行	/wiːv/
scale	n./v.	规模；刻度；攀登	/skeɪl/
irresistible	adj.	不可抗拒的	/ˌɪrɪˈzɪstəbl/
feat	n.	功绩；技艺	/fiːt/
endurance	n.	耐力；持久	/ɪnˈdjʊərəns/
mine	n./v.	矿；开采	/maɪn/
eloquent	adj.	雄辩的；有说服力的	/ˈeləkwənt/
crisis	n.	危机；危急关头	/ˈkraɪsɪs/
captivate	v.	迷住；吸引	/ˈkæptɪveɪt/
articulate	adj./v.	善于表达的；明确表达	/ɑːˈtɪkjələt/
vision	n.	视力；愿景	/ˈvɪʒn/
subsidiary	adj./n.	附属的；子公司	/səbˈsɪdiəri/
site	n.	地点；场所	/saɪt/
regime	n.	政权；制度	/reɪˈʒiːm/
majority	n.	大多数	/məˈdʒɒrəti/
interaction	n.	相互作用；交流	/ˌɪntərˈækʃn/
integrity	n.	完整；正直	/ɪnˈteɡrəti/
institution	n.	机构；制度	/ˌɪnstɪˈtjuːʃn/
facility	n.	设施；设备	/fəˈsɪləti/
ethical	adj.	道德的；伦理的	/ˈeθɪkl/
corporation	n.	公司；企业	/ˌkɔːpəˈreɪʃn/
colleague	n.	同事	/ˈkɒliːɡ/
administration	n.	管理；行政部门	/ədˌmɪnɪˈstreɪʃn/
accordingly	adv.	因此；相应地	/əˈkɔːdɪŋli/
leadership	n.	领导能力；领导层	/ˈliːdəʃɪp/
promote	v.	促进；推广；晋升	/prəˈməʊt/
productive	adj.	多产的；有成效的	/prəˈdʌktɪv/
product	n.	产品	/ˈprɒdʌkt/
obtain	v.	获得；得到	/əbˈteɪn/
distribute	v.	分配；分布	/dɪˈstrɪbjuːt/
consumption	n.	消费；消耗	/kənˈsʌmpʃn/
consumer	n.	消费者	/kənˈsjuːmə(r)/
competitive	adj.	竞争的；有竞争力的	/kəmˈpetətɪv/
abundance	n.	丰富；充裕	/əˈbʌndəns/
superior	adj./n.	优越的；上级	/suːˈpɪəriə(r)/
capture	v./n.	捕获；夺取	/ˈkæptʃə(r)/
bombard	v.	轰炸；大量提问	/bɒmˈbɑːd/
dialogue	n.	对话	/ˈdaɪəlɒɡ/
sword	n.	剑；刀	/sɔːd/
bend	v.	弯曲；弯腰	/bend/
arc	n.	弧；弧形	/ɑːk/
sustain	v.	维持；支撑	/səˈsteɪn/
style	n.	风格；方式	/staɪl/
investment	n.	投资	/ɪnˈvestmənt/
individual	adj./n.	个人的；个体	/ˌɪndɪˈvɪdʒuəl/
financial	adj.	金融的；财务的	/faɪˈnænʃl/
economic	adj.	经济的；经济学的	/ˌiːkəˈnɒmɪk/
dynamic	adj./n.	动态的；动力	/daɪˈnæmɪk/
aspire	v.	渴望；追求	/əˈspaɪə(r)/
stress	v./n.	强调；压力	/stres/
prove	v.	证明；证实	/pruːv/
point out	v. phrase	指出	/pɔɪnt aʊt/
observe	v.	观察；遵守	/əbˈzɜːv/
note	v./n.	注意；笔记	/nəʊt/
mention	v./n.	提及；说起	/ˈmenʃn/
inform	v.	通知；告知	/ɪnˈfɔːm/
emphasise	v.	强调；重视	/ˈemfəsaɪz/
cast on	phrase	（编织）起针	/kɑːst ɒn/
argue	v.	争论；主张	/ˈɑːɡjuː/
represent	v.	代表；象征	/ˌreprɪˈzent/
influence	n./v.	影响；影响力	/ˈɪnfluəns/
knock down	v. phrase	击倒；拆卸	/nɒk daʊn/
ingenious	adj.	巧妙的；有独创性的	/ɪnˈdʒiːniəs/
inclination	n.	倾向；意愿	/ˌɪnklɪˈneɪʃn/
finalise	v.	完成；确定	/ˈfaɪnəlaɪz/
exist	v.	存在；生存	/ɪɡˈzɪst/
demolish	v.	拆除；推翻	/dɪˈmɒlɪʃ/
create	v.	创造；创作	/kriˈeɪt/
conventional	adj.	传统的；常规的	/kənˈvenʃənl/
commence	v.	开始；着手	/kəˈmens/
collapse	v./n.	倒塌；崩溃	/kəˈlæps/
assemble	v.	组装；集合	/əˈsembl/
resume	v./n.	恢复；简历	/rɪˈzjuːm/
outbreak	n.	爆发	/ˈaʊtbreɪk/
noticeable	adj.	显而易见的	/ˈnəʊtɪsəbl/
intermission	n.	幕间休息；暂停	/ˌɪntəˈmɪʃn/
compress	v.	压缩；压紧	/kəmˈpres/
character	n.	性格；角色；汉字	/ˈkærəktə(r)/
aesthetic	adj.	美学的；审美的	/iːsˈθetɪk/
serve to	phrase	用于；有助于	/sɜːv tuː/
sensor	n.	传感器；感应器	/ˈsensə(r)/
physical	adj.	身体的；物理的	/ˈfɪzɪkl/
joint	adj./n.	联合的；关节	/dʒɔɪnt/
contention	n.	争论；论点	/kənˈtenʃn/
artificial	adj.	人工的；人造的	/ˌɑːtɪˈfɪʃl/
technical	adj.	技术的；专业的	/ˈteknɪkl/
recover	v.	恢复；康复	/rɪˈkʌvə(r)/
perform	v.	表演；执行	/pəˈfɔːm/
participate	v.	参与；参加	/pɑːˈtɪsɪpeɪt/
outcome	n.	结果；成果	/ˈaʊtkʌm/
nutrient	n.	营养物；养分	/ˈnjuːtriənt/
involve	v.	涉及；包含	/ɪnˈvɒlv/
expert	n./adj.	专家；熟练的	/ˈekspɜːt/
enhance	v.	提高；增强	/ɪnˈhɑːns/
compete	v.	竞争；比赛	/kəmˈpiːt/
achieve	v.	实现；达到	/əˈtʃiːv/
fatigue	n./v.	疲劳；疲乏	/fəˈtiːɡ/
theme	n.	主题；题目	/θiːm/
scenario	n.	方案；剧本	/səˈnɑːriəʊ/
obstacle	n.	障碍；阻碍	/ˈɒbstəkl/
notion	n.	概念；看法	/ˈnəʊʃn/
insight	n.	洞察力；深刻见解	/ˈɪnsaɪt/
initiative	n.	主动性；倡议	/ɪˈnɪʃətɪv/
controversy	n.	争议；争论	/ˈkɒntrəvɜːsi/
challenge	n./v.	挑战；质疑	/ˈtʃælɪndʒ/
spirit	n.	精神；心灵	/ˈspɪrɪt/
preoccupation	n.	全神贯注；心事	/priˌɒkjuˈpeɪʃn/
output	n./v.	输出；产量	/ˈaʊtpʊt/
input	n./v.	输入；投入	/ˈɪnpʊt/
hypothesis	n.	假设；假说	/haɪˈpɒθəsɪs/
divorce	n./v.	离婚；分离	/dɪˈvɔːs/
disguise	v./n.	伪装；掩饰	/dɪsˈɡaɪz/
preparedness	n.	准备状态；战备	/prɪˈpeərɪdnəs/
pilot	n./v.	飞行员；试点	/ˈpaɪlət/
outline	n./v.	大纲；概述	/ˈaʊtlaɪn/
lack	n./v.	缺乏；不足	/læk/
imitation	n.	模仿；仿制品	/ˌɪmɪˈteɪʃn/
fall behind	v. phrase	落后	/fɔːl bɪˈhaɪnd/
collaborative	adj.	合作的；协作的	/kəˈlæbərətɪv/
case study	n. phrase	案例研究	/keɪs ˈstʌdi/
version	n.	版本；说法	/ˈvɜːʃn/
vanish	v.	消失；突然不见	/ˈvænɪʃ/
take in	v. phrase	吸收；理解；欺骗	/teɪk ɪn/
motivate	v.	激励；激发	/ˈməʊtɪveɪt/
mesmerise	v.	使着迷；催眠	/ˈmezməraɪz/
intent	n./adj.	意图；专心的	/ɪnˈtent/
incredibly	adv.	难以置信地；极其	/ɪnˈkredəbli/
immediacy	n.	即时性；直接	/ɪˈmiːdiəsi/
discipline	n./v.	纪律；学科；训练	/ˈdɪsəplɪn/
convey	v.	传达；运输	/kənˈveɪ/
base on	v. phrase	以…为基础	/beɪs ɒn/
aware	adj.	意识到的	/əˈweə(r)/
ample	adj.	充足的；宽敞的	/ˈæmpl/
aid	n./v.	帮助；援助	/eɪd/
assignment	n.	任务；作业	/əˈsaɪnmənt/
folk tale	n. phrase	民间故事	/fəʊk teɪl/
syllable	n.	音节	/ˈsɪləbl/
rate	n./v.	比率；速度；评价	/reɪt/
quadrangle	n.	四边形；四合院	/ˈkwɒdræŋɡl/
proficiency	n.	熟练；精通	/prəˈfɪʃnsi/
perception	n.	感知；看法	/pəˈsepʃn/
norm	n.	规范；标准	/nɔːm/
multicultural	adj.	多元文化的	/ˌmʌltiˈkʌltʃərəl/
monologue	n.	独白	/ˈmɒnəlɒɡ/
linguistic	adj.	语言的；语言学的	/lɪŋˈɡwɪstɪk/
hexagon	n.	六边形	/ˈheksəɡən/
focus	n./v.	焦点；集中	/ˈfəʊkəs/
fluent	adj.	流利的	/ˈfluːənt/
decade	n.	十年；十年期	/ˈdekeɪd/
concept	n.	概念；观念	/ˈkɒnsept/
cognition	n.	认知；认识	/kɒɡˈnɪʃn/
tend	v.	倾向于；照料	/tend/
spectrum	n.	光谱；范围	/ˈspektrəm/
resemble	v.	像；与…相似	/rɪˈzembl/
monolingual	adj.	单语的	/ˌmɒnəˈlɪŋɡwəl/
literally	adv.	字面上；确实地	/ˈlɪtərəli/
degree	n.	程度；学位	/dɪˈɡriː/
multilingual	adj.	多语的	/ˌmʌltiˈlɪŋɡwəl/
bilingual	adj.	双语的	/baɪˈlɪŋɡwəl/
pay	v.	支付；付出	/peɪ/
back	adv./n.	向后；背部	/bæk/
succeed	v.	成功；继承	/səkˈsiːd/
in	prep./adv.	在…里；进入	/ɪn/
blame	v./n.	责备；责任	/bleɪm/
for	prep./conj.	为了；因为	/fɔː(r)/
add	v.	添加；增加	/æd/
deal	n./v.	交易；处理	/diːl/
come	v.	来；来到	/kʌm/
up	adv./prep.	向上；在…之上	/ʌp/
break	v./n.	打破；休息	/breɪk/
down	adv./prep./adj.	向下；沿着；沮丧的	/daʊn/
work	n./v.	工作；运转	/wɜːk/
out	adv./prep.	向外；在外面	/aʊt/
make	v.	制作；使	/meɪk/
off	adv./prep.	离开；关闭	/ɒf/
turn	v./n.	转动；转弯	/tɜːn/
into	prep.	进入；变成	/ˈɪntuː/
social	adj.	社会的；社交的	/ˈsəʊʃl/
media	n.	媒体；媒介	/ˈmiːdiə/
carry	v.	携带；运送	/ˈkæri/
on	prep./adv.	在…上；继续	/ɒn/
host	n./v.	主人；主持人；主办	/həʊst/
of	prep.	…的；关于	/əv/
speech	n.	演讲；言语	/spiːtʃ/
recognition	n.	识别；认可	/ˌrekəɡˈnɪʃn/
keep	v.	保持；保留	/kiːp/
low	adj./adv.	低的；低声地	/ləʊ/
profile	n.	轮廓；简介	/ˈprəʊfaɪl/
greenhouse	n.	温室	/ˈɡriːnhaʊs/
gas	n.	气体；煤气	/ɡæs/
fossil	n.	化石	/ˈfɒsl/
fuels	n./v.	燃料；给…加燃料	/ˈfjuːəlz/
climate	n.	气候	/ˈklaɪmət/
change	n./v.	改变；变化	/tʃeɪndʒ/
authority	n.	权威；当局	/ɔːˈθɒrəti/
distinctive	adj.	独特的；有特色的	/dɪˈstɪŋktɪv/
point	n./v.	点；指出	/pɔɪnt/
cast	v./n.	投；铸造；演员阵容	/kɑːst/
knock	v./n.	敲；击	/nɒk/
serve	v.	服务；供应	/sɜːv/
potential	adj./n.	潜在的；潜力	/pəˈtenʃl/
adequate	adj.	足够的；适当的	/ˈædɪkwət/
perspective	n.	观点；视角	/pəˈspektɪv/
diffuse	adj./v.	弥漫的；扩散	/dɪˈfjuːz/
fall	v./n.	落下；秋天	/fɔːl/
behind	prep./adv.	在…后面	/bɪˈhaɪnd/
case	n.	情况；案例	/keɪs/
study	n./v.	学习；研究	/ˈstʌdi/
take	v.	拿；取；花费	/teɪk/
base	n./v.	基础；以…为基础	/beɪs/
acknowledge	v.	承认；致谢	/əkˈnɒlɪdʒ/
folk	n./adj.	人们；民间的	/fəʊk/
tale	n.	故事；传说	/teɪl/
